wall,env_steps,episode,return,best_percent,steps,complete,dead
31.6,600,1,0.0,0.0,600,0,0
65.5,1200,2,0.0,0.0,600,0,0
99.6,1800,3,0.0,0.0,600,0,0
133.7,2400,4,0.0,0.0,600,0,0
7.0,2784,1,-0.631,0.0369,224,0,1
14.9,2971,2,-0.637,0.0363,187,0,1
20.5,3159,3,-0.634,0.0366,188,0,1
24.7,3345,4,-0.639,0.0361,186,0,1
28.9,3536,5,-0.63,0.037,191,0,1
33.2,3720,6,-0.618,0.0382,184,0,1
35.9,3818,7,-0.81,0.019,98,0,1
41.7,4102,8,-0.449,0.0551,284,0,1
46.0,4293,9,-0.629,0.0371,191,0,1
51.8,4579,10,-0.445,0.0555,286,0,1
56.0,4759,11,-0.63,0.037,180,0,1
60.2,4948,12,-0.633,0.0367,189,0,1
62.9,5046,13,-0.81,0.019,98,0,1
67.1,5237,14,-0.63,0.037,191,0,1
71.3,5426,15,-0.633,0.0367,189,0,1
74.0,5524,16,-0.81,0.019,98,0,1
76.8,5628,17,-0.798,0.0202,104,0,1
81.1,5813,18,-0.622,0.0378,185,0,1
85.4,6008,19,-0.622,0.0378,195,0,1
88.1,6106,20,-0.81,0.019,98,0,1
92.4,6301,21,-0.622,0.0378,195,0,1
98.5,6607,22,-0.407,0.0593,306,0,1
102.7,6787,23,-0.633,0.0367,180,0,1
106.9,6976,24,-0.633,0.0367,189,0,1
111.2,7170,25,-0.624,0.0376,194,0,1
115.4,7363,26,-0.625,0.0375,193,0,1
119.7,7557,27,-0.624,0.0376,194,0,1
122.5,7661,28,-0.799,0.0201,104,0,1
126.7,7840,29,-0.635,0.0365,179,0,1
129.4,7938,30,-0.81,0.019,98,0,1
132.1,8036,31,-0.81,0.019,98,0,1
137.9,8322,32,-0.445,0.0555,286,0,1
140.5,8420,33,-0.81,0.019,98,0,1
6.8,8921,1,-0.641,0.0359,217,0,1
11.9,9019,2,-0.81,0.019,98,0,1
23.4,9474,3,-0.114,0.0886,455,0,1
26.0,9572,4,-0.81,0.019,98,0,1
30.3,9753,5,-0.627,0.0373,181,0,1
33.0,9851,6,-0.81,0.019,98,0,1
38.6,10128,7,-0.462,0.0538,277,0,1
44.4,10410,8,-0.453,0.0547,282,0,1
47.1,10508,9,-0.81,0.019,98,0,1
53.2,10804,10,-0.407,0.0593,296,0,1
57.6,11001,11,-0.618,0.0382,197,0,1
60.4,11104,12,-0.801,0.0199,103,0,1
70.9,11388,13,-0.449,0.0551,284,0,1
79.0,11582,14,-0.624,0.0376,194,0,1
83.5,11773,15,-0.63,0.037,191,0,1
86.2,11861,16,-0.81,0.019,88,0,1
91.9,12138,17,-0.462,0.0538,277,0,1
97.7,12424,18,-0.445,0.0555,286,0,1
102.0,12620,19,-0.62,0.038,196,0,1
106.3,12805,20,-0.622,0.0378,185,0,1
110.6,13002,21,-0.618,0.0382,197,0,1
114.9,13195,22,-0.626,0.0374,193,0,1
119.2,13389,23,-0.624,0.0376,194,0,1
123.3,13574,24,-0.641,0.0359,185,0,1
127.5,13762,25,-0.635,0.0365,188,0,1
133.2,14030,26,-0.459,0.0541,268,0,1
137.5,14227,27,-0.618,0.0382,197,0,1
140.2,14325,28,-0.81,0.019,98,0,1
144.5,14520,29,-0.622,0.0378,195,0,1
150.3,14805,30,-0.447,0.0553,285,0,1
156.0,15079,31,-0.451,0.0549,274,0,1
160.3,15275,32,-0.62,0.038,196,0,1
166.1,15554,33,-0.459,0.0541,279,0,1
170.2,15741,34,-0.637,0.0363,187,0,1
173.0,15845,35,-0.799,0.0201,104,0,1
177.3,16032,36,-0.62,0.038,187,0,1
183.0,16310,37,-0.461,0.0539,278,0,1
187.2,16495,38,-0.641,0.0359,185,0,1
191.5,16689,39,-0.624,0.0376,194,0,1
195.6,16877,40,-0.636,0.0364,188,0,1
199.9,17056,41,-0.63,0.037,179,0,1
204.1,17246,42,-0.631,0.0369,190,0,1
206.8,17350,43,-0.798,0.0202,104,0,1
209.6,17453,44,-0.801,0.0199,103,0,1
213.8,17644,45,-0.63,0.037,191,0,1
218.1,17840,46,-0.62,0.038,196,0,1
220.8,17928,47,-0.81,0.019,88,0,1
225.1,18123,48,-0.622,0.0378,195,0,1
229.4,18317,49,-0.624,0.0376,194,0,1
235.1,18594,50,-0.462,0.0538,277,0,1
241.2,18900,51,-0.407,0.0593,306,0,1
245.5,19084,52,-0.626,0.0374,184,0,1
249.8,19281,53,-0.618,0.0382,197,0,1
255.6,19564,54,-0.451,0.0549,283,0,1
261.5,19850,55,-0.445,0.0555,286,0,1
267.2,20122,56,-0.453,0.0547,272,0,1
271.5,20316,57,-0.624,0.0376,194,0,1
274.3,20421,58,-0.797,0.0203,105,0,1
277.1,20526,59,-0.797,0.0203,105,0,1
281.3,20718,60,-0.628,0.0372,192,0,1
285.5,20910,61,-0.627,0.0373,192,0,1
291.3,21182,62,-0.453,0.0547,272,0,1
295.6,21378,63,-0.62,0.038,196,0,1
299.9,21569,64,-0.63,0.037,191,0,1
304.1,21760,65,-0.629,0.0371,191,0,1
308.2,21947,66,-0.637,0.0363,187,0,1
312.5,22129,67,-0.63,0.037,182,0,1
316.7,22319,68,-0.631,0.0369,190,0,1
322.4,22598,69,-0.459,0.0541,279,0,1
326.7,22790,70,-0.628,0.0372,192,0,1
330.9,22980,71,-0.631,0.0369,190,0,1
335.1,23162,72,-0.63,0.037,182,0,1
339.3,23352,73,-0.631,0.0369,190,0,1
342.1,23456,74,-0.799,0.0201,104,0,1
344.9,23561,75,-0.797,0.0203,105,0,1
350.6,23843,76,-0.453,0.0547,282,0,1
354.9,24035,77,-0.628,0.0372,192,0,1
359.1,24213,78,-0.635,0.0365,178,0,1
363.3,24406,79,-0.626,0.0374,193,0,1
367.5,24593,80,-0.637,0.0363,187,0,1
371.7,24780,81,-0.637,0.0363,187,0,1
376.0,24975,82,-0.622,0.0378,195,0,1
381.7,25245,83,-0.456,0.0544,270,0,1
384.5,25350,84,-0.797,0.0203,105,0,1
388.7,25541,85,-0.63,0.037,191,0,1
394.5,25822,86,-0.454,0.0546,281,0,1
398.7,26012,87,-0.631,0.0369,190,0,1
401.6,26113,88,-0.797,0.0203,101,0,1
405.8,26309,89,-0.62,0.038,196,0,1
410.0,26496,90,-0.637,0.0363,187,0,1
414.1,26683,91,-0.637,0.0363,187,0,1
416.9,26788,92,-0.797,0.0203,105,0,1
421.1,26981,93,-0.626,0.0374,193,0,1
423.9,27084,94,-0.8,0.02,103,0,1
429.6,27354,95,-0.458,0.0542,270,0,1
433.8,27545,96,-0.63,0.037,191,0,1
438.1,27736,97,-0.63,0.037,191,0,1
442.3,27927,98,-0.63,0.037,191,0,1
446.6,28118,99,-0.63,0.037,191,0,1
449.4,28214,100,-0.797,0.0203,96,0,1
453.5,28399,101,-0.641,0.0359,185,0,1
456.2,28502,102,-0.801,0.0199,103,0,1
460.4,28691,103,-0.633,0.0367,189,0,1
464.6,28877,104,-0.639,0.0361,186,0,1
468.8,29068,105,-0.63,0.037,191,0,1
473.0,29246,106,-0.635,0.0365,178,0,1
478.7,29523,107,-0.462,0.0538,277,0,1
482.9,29717,108,-0.624,0.0376,194,0,1
487.2,29908,109,-0.63,0.037,191,0,1
491.4,30097,110,-0.633,0.0367,189,0,1
497.0,30366,111,-0.462,0.0538,269,0,1
499.8,30471,112,-0.797,0.0203,105,0,1
502.6,30574,113,-0.801,0.0199,103,0,1
506.8,30764,114,-0.631,0.0369,190,0,1
510.9,30950,115,-0.639,0.0361,186,0,1
515.2,31142,116,-0.628,0.0372,192,0,1
518.0,31236,117,-0.798,0.0202,94,0,1
522.2,31427,118,-0.63,0.037,191,0,1
526.5,31621,119,-0.624,0.0376,194,0,1
530.7,31812,120,-0.63,0.037,191,0,1
534.9,32001,121,-0.633,0.0367,189,0,1
539.1,32193,122,-0.628,0.0372,192,0,1
543.3,32372,123,-0.635,0.0365,179,0,1
547.6,32565,124,-0.626,0.0374,193,0,1
550.4,32669,125,-0.798,0.0202,104,0,1
554.5,32854,126,-0.641,0.0359,185,0,1
