wall,env_steps,episode,return,best_percent,steps,complete,dead
580.3,25986,129,-0.112,0.0888,457,0,1
590.6,26541,130,0.079,0.1079,555,0,1
593.4,26625,131,-0.81,0.019,84,0,1
596.0,26723,132,-0.81,0.019,98,0,1
604.8,27187,133,-0.099,0.0901,464,0,1
610.6,27473,134,-0.445,0.0555,286,0,1
616.3,27753,135,-0.457,0.0543,280,0,1
620.6,27948,136,-0.622,0.0378,195,0,1
626.3,28225,137,-0.462,0.0538,277,0,1
629.0,28327,138,-0.803,0.0197,102,0,1
631.7,28425,139,-0.81,0.019,98,0,1
634.4,28523,140,-0.81,0.019,98,0,1
637.1,28623,141,-0.807,0.0193,100,0,1
641.4,28798,142,-0.622,0.0378,175,0,1
645.7,28992,143,-0.624,0.0376,194,0,1
650.0,29185,144,-0.626,0.0374,193,0,1
654.1,29370,145,-0.641,0.0359,185,0,1
658.3,29562,146,-0.628,0.0372,192,0,1
662.6,29753,147,-0.63,0.037,191,0,1
672.9,30308,148,0.079,0.1079,555,0,1
677.0,30493,149,-0.641,0.0359,185,0,1
682.7,30751,150,-0.462,0.0538,258,0,1
685.4,30853,151,-0.803,0.0197,102,0,1
691.1,31130,152,-0.462,0.0538,277,0,1
693.8,31228,153,-0.81,0.019,98,0,1
696.6,31332,154,-0.799,0.0201,104,0,1
699.4,31436,155,-0.798,0.0202,104,0,1
703.7,31630,156,-0.624,0.0376,194,0,1
712.3,32086,157,-0.114,0.0886,456,0,1
716.7,32282,158,-0.62,0.038,196,0,1
727.0,32819,159,0.081,0.1081,537,0,1
731.3,33015,160,-0.62,0.038,196,0,1
740.0,33471,161,-0.114,0.0886,456,0,1
742.6,33569,162,-0.81,0.019,98,0,1
746.8,33754,163,-0.641,0.0359,185,0,1
752.6,34038,164,-0.449,0.0551,284,0,1
756.9,34235,165,-0.618,0.0382,197,0,1
759.6,34333,166,-0.81,0.019,98,0,1
762.3,34431,167,-0.81,0.019,98,0,1
766.6,34628,168,-0.618,0.0382,197,0,1
769.3,34726,169,-0.81,0.019,98,0,1
772.2,34817,170,-0.797,0.0203,91,0,1
